Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Carbon Performance Alignment,Benchmark ID,History to Projection cutoff year,CP Unit,Assumptions,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ACC,India,IND,Cement,No,medium,INE012A01025,6155915,01/02/2021,23/12/2020,Paris Pledges,Cement_01/02/2021,2018,Carbon intensity (tonnes of CO2 per tonne of cementitious product),ACC has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s carbon performance.,,,,0.547,0.528,0.506,0.497,0.489,0.48,0.471,0.463,0.454,0.445,0.437,0.428,0.419,0.41,0.402,,,,,,,,,,,,,,,,,,,,
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/02/2021,23/12/2020,No or unsuitable disclosure,Cement_01/02/2021,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),"The company has not disclosed sufficient data on current emissions or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,03/02/2020,20/12/2019,No or unsuitable disclosure,Cement_01/02/2020,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),"Adelaide Brighton has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/09/2018,18/09/2018,Not Aligned,Cement_01/09/2018,2017,Carbon intensity (tonnes of CO2 per tonne of cementitious product),"Adelaide Brighton has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.",0.948,0.831,0.737,0.781,0.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/09/2017,14/09/2017,No or unsuitable disclosure,Cement_01/11/2017,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/11/2021,05/08/2021,1.5 Degrees,Electricity Utilities_01/11/2021,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.654,0.777,0.697,0.681,0.64,0.64,0.65,0.605454545,0.560909091,0.516363636,0.471818182,0.427272727,0.382727273,0.338181818,0.293636364,0.249090909,0.204545455,0.16,0.144,0.128,0.112,0.096,0.08,0.064,0.048,0.032,0.016,0.0,,,,,,,,,,
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/10/2020,12/08/2020,Paris Pledges,Electricity Utilities_01/10/2020,2018,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.654,0.777,0.697,0.69,0.67,0.61,0.564,0.518,0.432,0.345,0.328,0.311,0.293,0.276,0.259,0.242,0.224,0.207,,,,,,,,,,,,,,,,,,,,
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/09/2019,12/07/2019,Below 2 Degrees,Electricity Utilities_01/09/2019,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.654,0.777,0.697,0.69,0.67,0.619,0.568,0.518,0.431,0.345,0.328,0.311,0.293,0.276,0.259,0.242,0.224,0.207,,,,,,,,,,,,,,,,,,,,
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,"AU000000AGL7, AU000000AGK9","BSS7GP5, BQ6Q917",01/11/2021,05/08/2021,Below 2 Degrees,Electricity Utilities_01/11/2021,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.97,0.97,0.96,0.98,0.97,0.95,0.94,0.921048,0.902096,0.883144,0.864192,0.84524,0.812730769,0.780221538,0.747712308,0.715203077,0.682693846,0.650184615,0.617675385,0.585166154,0.552656923,0.520147692,0.487638462,0.455129231,0.42262,0.390110769,0.357601538,0.325092308,0.292583077,0.260073846,0.227564615,0.195055385,0.162546154,0.130036923,0.097527692,0.065018462,0.032509231,0.0
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,"AU000000AGL7, AU000000AGK9","BSS7GP5, BQ6Q917",01/10/2020,12/08/2020,Not Aligned,Electricity Utilities_01/10/2020,2018,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.964,0.958,0.95,0.98,0.97,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
