Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Carbon Performance Alignment,History to Projection cutoff year,CP Unit,Assumptions,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ACC,India,IND,Cement,No,medium,INE012A01025,6155915,01/02/2021,23/12/2020,Paris Pledges,2018,Carbon intensity (tonnes of CO2 per tonne of cementitious product),ACC has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s carbon performance.,,,,0.547,0.528,0.506,0.497,0.489,0.48,0.471,0.463,0.454,0.445,0.437,0.428,0.419,0.41,0.402,,,,,,,,,,,,,,,,,,,,
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/02/2021,23/12/2020,No or unsuitable disclosure,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),"The company has not disclosed sufficient data on current emissions or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,03/02/2020,20/12/2019,No or unsuitable disclosure,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),"Adelaide Brighton has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/09/2018,18/09/2018,Not Aligned,2017,Carbon intensity (tonnes of CO2 per tonne of cementitious product),"Adelaide Brighton has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance.",0.948,0.831,0.737,0.781,0.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/09/2017,14/09/2017,No or unsuitable disclosure,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/10/2020,12/08/2020,Paris Pledges,2018,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.654,0.777,0.697,0.69,0.67,0.61,0.564,0.518,0.432,0.345,0.328,0.311,0.293,0.276,0.259,0.242,0.224,0.207,,,,,,,,,,,,,,,,,,,,
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/09/2019,12/07/2019,Below 2 Degrees,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.654,0.777,0.697,0.69,0.67,0.619,0.568,0.518,0.431,0.345,0.328,0.311,0.293,0.276,0.259,0.242,0.224,0.207,,,,,,,,,,,,,,,,,,,,
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7,BSS7GP5,01/10/2020,12/08/2020,Not Aligned,2018,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.964,0.958,0.95,0.98,0.97,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7,BSS7GP5,01/09/2019,12/07/2019,Not Aligned,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.964,0.958,0.95,0.966,0.957,0.941,0.925,0.91,0.894,0.878,0.862,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7,BSS7GP5,01/07/2018,02/07/2018,Not Aligned,2016,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),AGL Energy has not disclosed a quantitative target to reduce its emissions which TPI can use to estimate future carbon performance.,0.958,0.958,0.948,0.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/12/2020,23/10/2020,Not Aligned,2019,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology.",,897.0,908.0,870.0,844.0,842.0,869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/12/2019,07/11/2019,Not Aligned,2018,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance. TPI’s intensity calculation excludes emissions and passenger traffic data for ANA's low cost carrier operations.,,660.0,662.0,638.0,620.0,614.0,629.0,644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/02/2019,04/01/2019,Not Aligned,2017,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,137.0,134.0,132.0,128.0,130.0,132.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,DK0010244508,4253048,01/12/2020,23/10/2020,Below 2 Degrees,2019,Carbon intensity (gCO2 / t-km),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,,,4.45,4.38,4.3,4.1,3.98,3.87,3.75,3.63,3.52,3.4,3.28,3.17,3.05,2.93,2.82,2.68,2.54,2.4,2.25,2.11,1.97,1.83,1.69,1.55,1.41,1.27,1.13,0.99,0.85,0.7,0.56,0.42,0.28,0.14,0.0
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,DK0010244508,4253048,01/12/2019,07/11/2019,Below 2 Degrees,2018,Carbon intensity (gCO2 / t-km),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector.  The carbon intensity has been recalculated according to TPI methodology. TPI assumes that carbon intensity reported in the company's CDP Climate Change Response takes precedence over the fuel efficiency data reported in the company's Annual Report.,,,,4.5,4.4,4.3,4.2,4.1,4.0,3.8,3.7,3.6,3.5,3.4,3.3,3.1,3.0,2.9,,,,,,,,,,,,,,,,,,,,
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/02/2021,23/12/2020,Below 2 Degrees,2019,Carbon intensity (tonnes of CO2 per tonne of steel),The company discloses an emissions intensity using an emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.,,,,0.925,0.931,0.99,0.622,0.602,0.582,0.562,0.542,0.522,0.502,0.482,0.462,0.441,0.421,0.401,0.381,0.361,0.341,0.321,0.301,0.281,0.261,0.241,0.221,0.201,0.181,0.161,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/02/2020,20/12/2019,2 Degrees,2018,Carbon intensity (tonnes of CO2 per tonne of steel),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPIís methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.,,,,0.924755152,0.930710202,0.989660656,0.986691674,0.983722692,0.98075371,0.977784728,0.974815746,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/09/2018,18/09/2018,Below 2 Degrees,2016,Carbon intensity (tonnes of CO2 per tonne of steel),"Acerinox has set targets to reduce its emissions intensity. For this company, TPI has assumed that:
● The company’s future steel production grows at the same rate as IEA projections.",0.55,0.55,0.59,0.6,0.494,0.389,0.283,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/09/2017,14/09/2017,2 Degrees,2015,Carbon intensity (tonnes of CO2 per tonne of steel),,0.55,0.55,0.59,0.578,0.566,0.555,0.543,0.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
