Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,MQ Publication Date,MQ Assessment Date,Level,Performance Compared to Previous Year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,CP Publication Date,CP Assessment Date,Benchmark ID,Carbon Performance Alignment,Carbon Performance Alignment Year,Previous Carbon Performance Alignment,Previous Carbon Performance Alignment Year,History to Projection Cutoff Year,CP Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Assumptions
ACC,India,IND,Cement,No,medium,INE012A01025,6155915,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,No,Yes,No,01/02/2021,23/12/2020,Cement_01/02/2021,Paris Pledges,2019,,,2018,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,0.547,0.528,0.506,0.497,0.489,0.48,0.471,0.463,0.454,0.445,0.437,0.428,0.419,0.41,0.402,,,,,,,,,,,,,,,,,,,,,ACC has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s carbon performance.
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not applicable,No,Yes,No,No,Yes,No,No,01/02/2021,23/12/2020,Cement_01/02/2021,No or unsuitable disclosure,,No or unsuitable disclosure,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance."
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,1.5 Degrees,2040,Paris Pledges,2021,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.654,0.777,0.697,0.681,0.64,0.64,0.65,0.605454545,0.560909091,0.516363636,0.471818182,0.427272727,0.382727273,0.338181818,0.293636364,0.249090909,0.204545455,0.16,0.144,0.128,0.112,0.096,0.08,0.064,0.048,0.032,0.016,0.0,,,,,,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,"AU000000AGL7, AU000000AGK9","BSS7GP5, BQ6Q917",01/11/2021,31/03/2021,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,No,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2050,Not Aligned,,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.97,0.97,0.96,0.98,0.97,0.95,0.94,0.921048,0.902096,0.883144,0.864192,0.84524,0.812730769,0.780221538,0.747712308,0.715203077,0.682693846,0.650184615,0.617675385,0.585166154,0.552656923,0.520147692,0.487638462,0.455129231,0.42262,0.390110769,0.357601538,0.325092308,0.292583077,0.260073846,0.227564615,0.195055385,0.162546154,0.130036923,0.097527692,0.065018462,0.032509231,0.0,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,No,No,01/12/2020,23/10/2020,Airlines_01/12/2020,Not Aligned,,Not Aligned,,2019,Carbon intensity (gCO2 / RTK),,897.0,908.0,870.0,844.0,842.0,869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology."
ANTAM,Indonesia,IDN,Coal Mining,Yes,small,ID1000106602,6053859,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,"DK0010244425, DK0010244508","4253059, 4253048",01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,No,No,No,01/12/2020,23/10/2020,Shipping_01/12/2020,Below 2 Degrees,2016,Below 2 Degrees,2016,2019,Carbon intensity (gCO2 / t-km),,,,4.45,4.38,4.3,4.1,3.98,3.87,3.75,3.63,3.52,3.4,3.28,3.17,3.05,2.93,2.82,2.68,2.54,2.4,2.25,2.11,1.97,1.83,1.69,1.55,1.41,1.27,1.13,0.99,0.85,0.7,0.56,0.42,0.28,0.14,0.0,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
APA Corporation,United States of America,USA,Oil & Gas,No,medium,US03743Q1085,BNNF1C1,01/11/2021,31/03/2021,2,down,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2019,Emissions intensity (gCO2e / MJ),,69.81367486,73.12089704,73.77851541,74.21856859,73.82810993,72.47060761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology."
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,Yes,Yes,No,01/02/2021,23/12/2020,Steel_01/02/2021,Below 2 Degrees,2016,2 Degrees,2016,2019,Carbon intensity (tonnes of CO2 per tonne of steel),,,,0.925,0.931,0.99,0.622,0.602,0.582,0.562,0.542,0.522,0.502,0.482,0.462,0.441,0.421,0.401,0.381,0.361,0.341,0.321,0.301,0.281,0.261,0.241,0.221,0.201,0.181,0.161,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,The company discloses an emissions intensity using an emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.
Adani Enterprises,India,IND,Coal Mining,No,medium,INE423A01024,B01VRK0,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
