Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company explicitly recognise climate change as a relevant risk and/or opportunity to the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,"Q12L4|Has the company incorporated environmental, social and governance issues into executive remuneration?",Q13L4|Has the company reduced its operational (Scope 1 and 2) greenhouse gas emissions over the past 3 years?,Q14L4|Does the company provide information on the business costs associated with climate change?
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/09/2017,12/09/2016,1,new,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/09/2017,06/09/2016,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Adaro Energy,Indonesia,IDN,Coal Mining,No,medium,ID1000111305,B3BQFC4,01/07/2017,15/02/2017,1,new,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
African Rainbow Minerals,South Africa,ZAF,Coal Mining,No,medium,ZAE000054045,6041122,01/07/2017,03/01/2017,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
Ambuja Cements,India,IND,Cement,No,large,INE079A01024,B09QQ11,01/09/2017,09/09/2016,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
American Electric Power,United States of America,USA,Electricity Utilities,Yes,large,US0255371017,2026242,01/06/2017,15/07/2016,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Anadarko Petroleum,United States of America,USA,Oil & Gas,No,large,US0325111070,2032380,01/07/2017,12/10/2015,1,new,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No
Anglo American (Coal Mining),United Kingdom,GBR,Coal Mining,Yes,large,GB00B1XZS820,B1XZS82,01/07/2017,29/04/2016,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Anhui Conch Cement,China,CHN,Cement,Yes,large,"CNE1000001W2, CNE0000019V8",6080396,01/09/2017,03/06/2016,0,new,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Apache,United States of America,USA,Oil & Gas,No,medium,US0374111054,2043962,01/07/2017,11/08/2015,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No
Arcelor Mittal,Netherlands,NLD,Steel,Yes,large,LU1598757687,BYPBS67,01/09/2017,18/08/2016,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
Asia Cement,Taiwan,TWN,Cement,No,large,"TW0001102002, KR7183190008",6056331,01/09/2017,12/07/2016,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No
BHP (Coal Mining),United Kingdom,GBR,Coal Mining,Yes,large,"GB00BH0P3Z91, GB0000566504",BH0P3Z9,01/07/2017,31/01/2017,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
BMW,Germany,DEU,Autos,Yes,large,DE0005190003,5756029,01/02/2018,17/10/2017,3,new,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BP,United Kingdom,GBR,Oil & Gas,Yes,large,GB0007980591,798059,01/07/2017,03/08/2016,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
Banpu,Thailand,THA,Coal Mining,No,medium,TH0148A10Z06,BJFHBV6,01/07/2017,24/02/2017,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No
Bluescope Steel,Australia,AUS,Steel,Yes,large,AU000000BSL0,6533232,01/09/2017,16/02/2017,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No
Boral,Australia,AUS,Cement,Yes,large,AU000000BLD2,6218670,01/09/2017,10/06/2016,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
Brilliance,China,CHN,Autos,No,large,BMG1368B1028,6181482,01/02/2018,10/10/2017,0,new,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bukit Asam,Indonesia,IDN,Coal Mining,No,medium,ID1000094006,6565127,01/07/2017,22/02/2017,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No
CLP,Hong Kong,HKG,Electricity Utilities,No,large,HK0002007356,6097017,01/06/2017,29/07/2016,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
CMPC,Chile,CHL,Paper,No,large,CL0000001314,2196015,01/02/2018,24/11/2016,3,new,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes
CRH,United Kingdom,GBR,Cement,Yes,large,"IE0001827041, US12626K2033",182704,01/09/2017,02/08/2016,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
Canadian Natural Resources,Canada,CAN,Oil & Gas,Yes,large,CA1363851017,2171573,01/07/2017,24/11/2016,2,new,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No
Cemex,Mexico,MEX,Cement,Yes,large,"MXP225611567, EST01PA00013, US1512908898",2406457,01/09/2017,05/12/2016,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Chevron,United States of America,USA,Oil & Gas,Yes,large,US1667641005,2838555,01/07/2017,14/10/2016,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No
China Coal,China,CHN,Coal Mining,No,large,CNE100000528,B1JNK84,01/07/2017,21/12/2016,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
China National Building Materials,China,CHN,Cement,No,large,CNE1000002N9,B0Y91C1,01/09/2017,06/02/2017,0,new,No,No,No,No,No,No,No,No,No,No,No,No,No,No
China Shenhua Energy,China,CHN,Coal Mining,Yes,large,CNE1000002R0,B09N7M0,01/07/2017,21/06/2016,1,new,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
China Steel,Taiwan,TWN,Steel,Yes,large,TW0002002003,6190950,01/09/2017,10/02/2017,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Coal India,India,IND,Coal Mining,Yes,large,INE522F01014,B4Z9XF5,01/07/2017,09/02/2017,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Companhia Siderurgica Nacional,Brazil,BRA,Steel,No,medium,BRCSNAACNOR6,,01/09/2017,10/01/2017,2,new,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No
Concho Resources,United States of America,USA,Oil & Gas,No,medium,US20605P1012,B1YWRK7,01/07/2017,28/07/2016,1,new,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
ConocoPhillips,United States of America,USA,Oil & Gas,Yes,large,US20825C1045,2685717,01/07/2017,03/08/2016,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No
Consol Energy,United States of America,USA,Coal Mining,No,small,"US20854L1089, US20854P1093",BF4L070,01/07/2017,11/07/2016,2,new,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No
DMCI,Philippines,PHL,Coal Mining,No,medium,PHY2088F1004,6272483,01/07/2017,29/12/2016,0,new,No,No,No,No,No,No,No,No,No,No,No,No,No,No
DTE Energy,United States of America,USA,Electricity Utilities,No,medium,US2333311072,2280220,01/06/2017,01/07/2016,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No
Daimler,Germany,DEU,Autos,Yes,large,DE0007100000,5529027,01/02/2018,16/12/2016,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Daio Paper,Japan,JPN,Paper,No,small,JP3440400004,6870898,01/02/2018,24/02/2017,1,new,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes
Devon Energy,United States of America,USA,Oil & Gas,Yes,medium,US25179M1036,2480677,01/07/2017,12/08/2015,2,new,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No
Dominion Energy,United States of America,USA,Electricity Utilities,Yes,large,US25746U1097,2542049,01/06/2017,05/12/2015,1,new,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No
Domtar,United States of America,USA,Paper,No,small,US2575592033,B1T84Z4,01/02/2018,03/12/2017,1,new,new,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
EOG Resources,United States of America,USA,Oil & Gas,No,large,US26875P1012,2318024,01/07/2017,01/08/2016,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Edison International,United States of America,USA,Electricity Utilities,No,medium,US2810201077,2829515,01/06/2017,13/12/2015,1,new,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No
Ence Energia y Celulosa,Spain,ESP,Paper,No,small,ES0130625512,B1W7BK2,01/02/2018,02/10/2017,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Enel,Italy,ITA,Electricity Utilities,Yes,large,IT0003128367,7144569,01/06/2017,01/08/2016,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Eni,Italy,ITA,Oil & Gas,Yes,large,IT0003132476,7145056,01/07/2017,28/07/2016,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Entergy,United States of America,USA,Electricity Utilities,No,medium,US29364G1031,2317087,01/06/2017,01/08/2016,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Erdemir,Turkey,TUR,Steel,No,medium,TRAEREGL91G3,B03MS97,01/09/2017,12/01/2017,2,new,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No
Eversource Energy,United States of America,USA,Electricity Utilities,No,medium,US30040W1080,BVVN4Q8,01/06/2017,15/10/2016,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
Exelon,United States of America,USA,Electricity Utilities,Yes,large,US30161N1019,2670519,01/06/2017,28/07/2016,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Exxaro Resources,South Africa,ZAF,Coal Mining,No,medium,ZAE000084992,6418801,01/07/2017,12/12/2016,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Exxon Mobil,United States of America,USA,Oil & Gas,Yes,large,US30231G1022,2326618,01/07/2017,15/10/2016,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No
Ferrari,Italy,ITA,Autos,No,large,NL0011585146,BD6G507,01/02/2018,17/11/2017,0,down,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Fiat Chrysler,Italy,ITA,Autos,Yes,large,NL0010877643,BRJFWP3,01/02/2018,15/10/2016,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Fibria,Brazil,BRA,Paper,No,large,BRFIBRACNOR9,,01/02/2018,05/12/2017,2,new,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
Firstenergy,United States of America,USA,Electricity Utilities,Yes,medium,US3379321074,2100920,01/06/2017,31/07/2016,1,new,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No
