Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company explicitly recognise climate change as a relevant risk and/or opportunity to the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,"Q14L4|Has the company incorporated environmental, social and governance issues into executive remuneration?",Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company have an internal price of carbon?
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/09/2018,18/10/2017,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,Yes,No,No,No
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/12/2018,25/01/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,No
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7,BSS7GP5,01/07/2018,04/05/2018,4STAR,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/02/2019,09/04/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,No,No
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,DK0010244508,4253048,01/12/2018,09/01/2018,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Not applicable,Yes,No,No,No,No
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/09/2018,19/01/2018,3,down,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not applicable,Yes,No,Yes,No,No
Adaro Energy,Indonesia,IDN,Coal Mining,No,medium,ID1000111305,B3BQFC4,01/07/2018,04/05/2018,2,up,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
African Rainbow Minerals,South Africa,ZAF,Coal Mining,No,medium,ZAE000054045,6041122,01/07/2018,23/03/2018,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
Air China,China,CHN,Airlines,No,large,CNE1000001S0,B04KNF1,01/02/2019,16/04/2018,1,new,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Not applicable,No,No,No,No,No
Air Liquide,France,FRA,Chemicals,Yes,large,FR0000120073,B1YXBJ7,01/12/2018,20/10/2017,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No
